"filename", "language", "JSON", "EditorConfig", "JavaScript", "Markdown", "YAML", "TypeScript", "HTML", "CSS", "XML", "Properties", "comment", "blank", "total"
"c:\Users\sno.NSD\IdeaProjects\qddt-client\.angulardoc.json", "JSON", 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4
"c:\Users\sno.NSD\IdeaProjects\qddt-client\.editorconfig", "EditorConfig", 0, 10, 0, 0, 0, 0, 0, 0, 0, 0, 1, 3, 14
"c:\Users\sno.NSD\IdeaProjects\qddt-client\.github\ISSUE_TEMPLATE\bug_report.md", "Markdown", 0, 0, 0, 20, 0, 0, 0, 0, 0, 0, 0, 8, 28
"c:\Users\sno.NSD\IdeaProjects\qddt-client\.github\ISSUE_TEMPLATE\custom.md", "Markdown", 0, 0, 0, 4, 0, 0, 0, 0, 0, 0, 0, 4, 8
"c:\Users\sno.NSD\IdeaProjects\qddt-client\.github\ISSUE_TEMPLATE\feature_request.md", "Markdown", 0, 0, 0, 12, 0, 0, 0, 0, 0, 0, 0, 6, 18
"c:\Users\sno.NSD\IdeaProjects\qddt-client\.gradle\buildOutputCleanup\cache.properties", "Properties", 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 3
"c:\Users\sno.NSD\IdeaProjects\qddt-client\README.md", "Markdown", 0, 0, 0, 30, 0, 0, 0, 0, 0, 0, 0, 22, 52
"c:\Users\sno.NSD\IdeaProjects\qddt-client\angular-cli.json", "JSON", 10, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 11
"c:\Users\sno.NSD\IdeaProjects\qddt-client\angular.json", "JSON", 157, 0, 0, 0, 0, 0, 0, 0, 0, 0, 33, 0, 190
"c:\Users\sno.NSD\IdeaProjects\qddt-client\documents\QDDT master profile QuestionConstruct v1.xml", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 248, 0, 21, 18, 287
"c:\Users\sno.NSD\IdeaProjects\qddt-client\documents\QDDT master profile QuestionItem v1.xml", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 525, 0, 36, 32, 593
"c:\Users\sno.NSD\IdeaProjects\qddt-client\documents\QDDT master profile Sequence v1.xml", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 323, 0, 18, 13, 354
"c:\Users\sno.NSD\IdeaProjects\qddt-client\e2e\app.e2e-spec.ts", "TypeScript", 0, 0, 0, 0, 0, 11, 0, 0, 0, 0, 0, 4, 15
"c:\Users\sno.NSD\IdeaProjects\qddt-client\e2e\app.po.ts", "TypeScript", 0, 0, 0, 0, 0, 9, 0, 0, 0, 0, 0, 3, 12
"c:\Users\sno.NSD\IdeaProjects\qddt-client\e2e\tsconfig.e2e.json", "JSON", 14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 15
"c:\Users\sno.NSD\IdeaProjects\qddt-client\karma.conf.js", "JavaScript", 0, 0, 29, 0, 0, 0, 0, 0, 0, 0, 2, 2, 33
"c:\Users\sno.NSD\IdeaProjects\qddt-client\package-lock.json", "JSON", 13332, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 13333
"c:\Users\sno.NSD\IdeaProjects\qddt-client\package.json", "JSON", 57, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 58
"c:\Users\sno.NSD\IdeaProjects\qddt-client\protractor-ci.conf.js", "JavaScript", 0, 0, 8, 0, 0, 0, 0, 0, 0, 0, 0, 2, 10
"c:\Users\sno.NSD\IdeaProjects\qddt-client\protractor.conf.js", "JavaScript", 0, 0, 24, 0, 0, 0, 0, 0, 0, 0, 2, 3, 29
"c:\Users\sno.NSD\IdeaProjects\qddt-client\src\app\api.ts", "TypeScript", 0, 0, 0, 0, 0, 2, 0, 0, 0, 0, 0, 1, 3
"c:\Users\sno.NSD\IdeaProjects\qddt-client\src\app\app.component.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 68, 0, 0, 5, 25, 98
"c:\Users\sno.NSD\IdeaProjects\qddt-client\src\app\app.component.html", "HTML", 0, 0, 0, 0, 0, 0, 25, 0, 0, 0, 0, 1, 26
"c:\Users\sno.NSD\IdeaProjects\qddt-client\src\app\app.component.ts", "TypeScript", 0, 0, 0, 0, 0, 37, 0, 0, 0, 0, 3, 15, 55
"c:\Users\sno.NSD\IdeaProjects\qddt-client\src\app\app.module.ts", "TypeScript", 0, 0, 0, 0, 0, 52, 0, 0, 0, 0, 1, 8, 61
"c:\Users\sno.NSD\IdeaProjects\qddt-client\src\app\app.routes.ts", "TypeScript", 0, 0, 0, 0, 0, 17, 0, 0, 0, 0, 1, 5, 23
"c:\Users\sno.NSD\IdeaProjects\qddt-client\src\app\components\author\author.chip.component.ts", "TypeScript", 0, 0, 0, 0, 0, 17, 0, 0, 0, 0, 0, 5, 22
"c:\Users\sno.NSD\IdeaProjects\qddt-client\src\app\components\autocomplete\autocomplete.component.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 55, 0, 0, 0, 14, 69
"c:\Users\sno.NSD\IdeaProjects\qddt-client\src\app\components\autocomplete\autocomplete.component.html", "HTML", 0, 0, 0, 0, 0, 0, 12, 0, 0, 0, 0, 2, 14
"c:\Users\sno.NSD\IdeaProjects\qddt-client\src\app\components\autocomplete\autocomplete.component.ts", "TypeScript", 0, 0, 0, 0, 0, 149, 0, 0, 0, 0, 2, 26, 177
"c:\Users\sno.NSD\IdeaProjects\qddt-client\src\app\components\autocomplete\autocomplete.directive.ts", "TypeScript", 0, 0, 0, 0, 0, 7, 0, 0, 0, 0, 0, 2, 9
"c:\Users\sno.NSD\IdeaProjects\qddt-client\src\app\components\comment\comment.create.component.ts", "TypeScript", 0, 0, 0, 0, 0, 36, 0, 0, 0, 0, 8, 8, 52
"c:\Users\sno.NSD\IdeaProjects\qddt-client\src\app\components\comment\comment.list.component.html", "HTML", 0, 0, 0, 0, 0, 0, 56, 0, 0, 0, 4, 1, 61
"c:\Users\sno.NSD\IdeaProjects\qddt-client\src\app\components\comment\comment.list.component.ts", "TypeScript", 0, 0, 0, 0, 0, 84, 0, 0, 0, 0, 1, 16, 101
"c:\Users\sno.NSD\IdeaProjects\qddt-client\src\app\components\comment\comment.service.ts", "TypeScript", 0, 0, 0, 0, 0, 18, 0, 0, 0, 0, 3, 9, 30
"c:\Users\sno.NSD\IdeaProjects\qddt-client\src\app\components\compare\compare.module.ts", "TypeScript", 0, 0, 0, 0, 0, 9, 0, 0, 0, 0, 0, 3, 12
"c:\Users\sno.NSD\IdeaProjects\qddt-client\src\app\components\compare\diff.component.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 305, 0, 0, 17, 59, 381
"c:\Users\sno.NSD\IdeaProjects\qddt-client\src\app\components\compare\diff.component.html", "HTML", 0, 0, 0, 0, 0, 0, 69, 0, 0, 0, 5, 1, 75
"c:\Users\sno.NSD\IdeaProjects\qddt-client\src\app\components\compare\diff.component.ts", "TypeScript", 0, 0, 0, 0, 0, 76, 0, 0, 0, 0, 0, 10, 86
"c:\Users\sno.NSD\IdeaProjects\qddt-client\src\app\components\compare\diff.string.ts", "TypeScript", 0, 0, 0, 0, 0, 368, 0, 0, 0, 0, 160, 32, 560
"c:\Users\sno.NSD\IdeaProjects\qddt-client\src\app\components\components.module.ts", "TypeScript", 0, 0, 0, 0, 0, 53, 0, 0, 0, 0, 0, 5, 58
"c:\Users\sno.NSD\IdeaProjects\qddt-client\src\app\components\conceptref\conceptref.component.html", "HTML", 0, 0, 0, 0, 0, 0, 30, 0, 0, 0, 0, 1, 31
"c:\Users\sno.NSD\IdeaProjects\qddt-client\src\app\components\conceptref\conceptref.component.ts", "TypeScript", 0, 0, 0, 0, 0, 26, 0, 0, 0, 0, 0, 10, 36
"c:\Users\sno.NSD\IdeaProjects\qddt-client\src\app\components\confim-delete\delete.component.ts", "TypeScript", 0, 0, 0, 0, 0, 65, 0, 0, 0, 0, 1, 10, 76
"c:\Users\sno.NSD\IdeaProjects\qddt-client\src\app\components\dialog\dialog-big.component.ts", "TypeScript", 0, 0, 0, 0, 0, 30, 0, 0, 0, 0, 0, 7, 37
"c:\Users\sno.NSD\IdeaProjects\qddt-client\src\app\components\dialog\dialog.component.ts", "TypeScript", 0, 0, 0, 0, 0, 33, 0, 0, 0, 0, 0, 7, 40
"c:\Users\sno.NSD\IdeaProjects\qddt-client\src\app\components\download\download.component.html", "HTML", 0, 0, 0, 0, 0, 0, 59, 0, 0, 0, 0, 1, 60
"c:\Users\sno.NSD\IdeaProjects\qddt-client\src\app\components\download\download.component.ts", "TypeScript", 0, 0, 0, 0, 0, 69, 0, 0, 0, 0, 2, 15, 86
"c:\Users\sno.NSD\IdeaProjects\qddt-client\src\app\components\footer\elementfooter.component.html", "HTML", 0, 0, 0, 0, 0, 0, 24, 0, 0, 0, 2, 1, 27
"c:\Users\sno.NSD\IdeaProjects\qddt-client\src\app\components\footer\elementfooter.component.ts", "TypeScript", 0, 0, 0, 0, 0, 33, 0, 0, 0, 0, 5, 10, 48
"c:\Users\sno.NSD\IdeaProjects\qddt-client\src\app\components\footer\style.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 25, 0, 0, 35, 6, 66
"c:\Users\sno.NSD\IdeaProjects\qddt-client\src\app\components\form-errors\form-errors.component.ts", "TypeScript", 0, 0, 0, 0, 0, 34, 0, 0, 0, 0, 4, 7, 45
"c:\Users\sno.NSD\IdeaProjects\qddt-client\src\app\components\form\animations.ts", "TypeScript", 0, 0, 0, 0, 0, 14, 0, 0, 0, 0, 0, 2, 16
"c:\Users\sno.NSD\IdeaProjects\qddt-client\src\app\components\form\element-base.class.ts", "TypeScript", 0, 0, 0, 0, 0, 22, 0, 0, 0, 0, 1, 8, 31
"c:\Users\sno.NSD\IdeaProjects\qddt-client\src\app\components\form\input-number.component.ts", "TypeScript", 0, 0, 0, 0, 0, 37, 0, 0, 0, 0, 0, 7, 44
"c:\Users\sno.NSD\IdeaProjects\qddt-client\src\app\components\form\input.component.ts", "TypeScript", 0, 0, 0, 0, 0, 46, 0, 0, 0, 0, 0, 6, 52
"c:\Users\sno.NSD\IdeaProjects\qddt-client\src\app\components\form\select.component.ts", "TypeScript", 0, 0, 0, 0, 0, 112, 0, 0, 0, 0, 0, 17, 129
"c:\Users\sno.NSD\IdeaProjects\qddt-client\src\app\components\form\textarea.component.ts", "TypeScript", 0, 0, 0, 0, 0, 61, 0, 0, 0, 0, 0, 8, 69
"c:\Users\sno.NSD\IdeaProjects\qddt-client\src\app\components\form\validate.function.ts", "TypeScript", 0, 0, 0, 0, 0, 63, 0, 0, 0, 0, 1, 15, 79
"c:\Users\sno.NSD\IdeaProjects\qddt-client\src\app\components\form\validation.component.ts", "TypeScript", 0, 0, 0, 0, 0, 15, 0, 0, 0, 0, 0, 2, 17
"c:\Users\sno.NSD\IdeaProjects\qddt-client\src\app\components\form\value-accessor.class.ts", "TypeScript", 0, 0, 0, 0, 0, 32, 0, 0, 0, 0, 0, 10, 42
"c:\Users\sno.NSD\IdeaProjects\qddt-client\src\app\components\pagenotfound\page-not-found.component.ts", "TypeScript", 0, 0, 0, 0, 0, 6, 0, 0, 0, 0, 0, 3, 9
"c:\Users\sno.NSD\IdeaProjects\qddt-client\src\app\components\pagination\pagination.component.html", "HTML", 0, 0, 0, 0, 0, 0, 30, 0, 0, 0, 0, 5, 35
"c:\Users\sno.NSD\IdeaProjects\qddt-client\src\app\components\pagination\pagination.component.ts", "TypeScript", 0, 0, 0, 0, 0, 136, 0, 0, 0, 0, 63, 45, 244
"c:\Users\sno.NSD\IdeaProjects\qddt-client\src\app\components\rational\rational.component.html", "HTML", 0, 0, 0, 0, 0, 0, 46, 0, 0, 0, 0, 1, 47
"c:\Users\sno.NSD\IdeaProjects\qddt-client\src\app\components\rational\rational.component.ts", "TypeScript", 0, 0, 0, 0, 0, 97, 0, 0, 0, 0, 1, 15, 113
"c:\Users\sno.NSD\IdeaProjects\qddt-client\src\app\components\rational\rationaldescription.ts", "TypeScript", 0, 0, 0, 0, 0, 52, 0, 0, 0, 0, 0, 4, 56
"c:\Users\sno.NSD\IdeaProjects\qddt-client\src\app\components\revision\revision-config.ts", "TypeScript", 0, 0, 0, 0, 0, 89, 0, 0, 0, 0, 2, 13, 104
"c:\Users\sno.NSD\IdeaProjects\qddt-client\src\app\components\revision\revision.component.html", "HTML", 0, 0, 0, 0, 0, 0, 39, 0, 0, 0, 0, 1, 40
"c:\Users\sno.NSD\IdeaProjects\qddt-client\src\app\components\revision\revision.component.ts", "TypeScript", 0, 0, 0, 0, 0, 100, 0, 0, 0, 0, 0, 20, 120
"c:\Users\sno.NSD\IdeaProjects\qddt-client\src\app\components\revision\revision.service.ts", "TypeScript", 0, 0, 0, 0, 0, 21, 0, 0, 0, 0, 0, 13, 34
"c:\Users\sno.NSD\IdeaProjects\qddt-client\src\app\components\spinner\spinner.component.ts", "TypeScript", 0, 0, 0, 0, 0, 29, 0, 0, 0, 0, 0, 3, 32
"c:\Users\sno.NSD\IdeaProjects\qddt-client\src\app\components\table\table.column.config.ts", "TypeScript", 0, 0, 0, 0, 0, 236, 0, 0, 0, 0, 10, 24, 270
"c:\Users\sno.NSD\IdeaProjects\qddt-client\src\app\components\table\table.column.ts", "TypeScript", 0, 0, 0, 0, 0, 22, 0, 0, 0, 0, 0, 5, 27
"c:\Users\sno.NSD\IdeaProjects\qddt-client\src\app\components\table\table.component.html", "HTML", 0, 0, 0, 0, 0, 0, 82, 0, 0, 0, 0, 4, 86
"c:\Users\sno.NSD\IdeaProjects\qddt-client\src\app\components\table\table.component.ts", "TypeScript", 0, 0, 0, 0, 0, 195, 0, 0, 0, 0, 12, 38, 245
"c:\Users\sno.NSD\IdeaProjects\qddt-client\src\app\components\template\index.ts", "TypeScript", 0, 0, 0, 0, 0, 4, 0, 0, 0, 0, 0, 1, 5
"c:\Users\sno.NSD\IdeaProjects\qddt-client\src\app\components\template\template-detail.component.html", "HTML", 0, 0, 0, 0, 0, 0, 49, 0, 0, 0, 1, 5, 55
"c:\Users\sno.NSD\IdeaProjects\qddt-client\src\app\components\template\template-detail.component.ts", "TypeScript", 0, 0, 0, 0, 0, 94, 0, 0, 0, 0, 0, 21, 115
